id,probability_maraud,successful_mating,next_foraging_time,foraging_events,foraging_hrs,foraging_sqhrs,staying_events,staying_hrs,staying_sqhrs,repairing_events,repairing_hrs,repairing_sqhrs,marauding_events,marauding_hrs,marauding_sqhrs,traveling_events,traveling_hrs,traveling_sqhrs
0,0.054,8,360.08016001708467,557.0,68.18377193936823,13.465159234962568,1170.0,193.2755256650714,40.93029465714656,600.0,97.2862862456001,19.983477676333543,9.0,0.8999999999999999,0.09000000000000002,69.0,0.37468070586111135,0.002034574367312757
1,0.054,4,360.43510229147233,557.0,71.3973807879007,15.64682485420931,1205.0,208.22706824555277,45.801507671976104,482.0,79.12601545328512,16.35634053959642,12.0,1.2,0.12000000000000005,56.0,0.304088688814815,0.0016512487618770208
2,0.054,11,360.5055428080135,555.0,69.76162951764805,15.054151308987255,1281.0,215.47851472961258,46.439599809563326,451.0,73.10847771890002,15.650795543405742,14.0,1.4000000000000001,0.14000000000000007,82.0,0.4452727229074077,0.002417899972748493
3,0.0,9,360.2123410952998,572.0,73.73229227333492,16.203035585165868,1214.0,200.37228514420806,42.218800727338824,517.0,85.90858747779808,18.17197655625971,0.0,0.0,0.0,0.0,0.0,0.0
4,0.054,11,360.6238240676459,568.0,71.7702259572,14.635787962666777,1304.0,223.66119139054027,47.3242142037736,376.0,62.20887799492227,13.353111650037347,20.0,2.0000000000000004,0.20000000000000012,82.0,0.4452727229074077,0.002417899972748493
5,0.054,12,359.9932291980464,575.0,72.2593134799757,14.946549889636382,1383.0,225.1609516802918,47.14494330282991,344.0,60.831551684812986,13.214443828864328,14.0,1.4000000000000001,0.14000000000000007,75.0,0.4072616368055558,0.002211493877513866
6,0.054,8,359.8291366212176,574.0,74.0321580547818,15.958296002269138,1101.0,187.22745041056226,40.003831047055776,568.0,97.12254491852806,20.87329951764201,13.0,1.3,0.13000000000000006,62.0,0.33666961975925946,0.0018281682720781298
7,0.054,13,360.160843491409,563.0,71.9519393511247,15.104238792065345,1364.0,225.13834394444007,47.281593422614044,360.0,61.07643911808647,13.307023804204027,16.0,1.6000000000000003,0.1600000000000001,86.0,0.46699334353703736,0.002535846312882566
8,0.054,8,359.9759726503494,565.0,74.10045280354527,17.179030106208973,1158.0,192.78466706990358,41.12008010746191,533.0,91.75133632310515,19.944836290480616,11.0,1.0999999999999999,0.11000000000000004,80.0,0.4344124125925929,0.002358926802681457
9,0.054,5,360.29872394086647,567.0,68.4428389736457,13.607783516588565,1253.0,210.61587468170964,44.8549750781097,458.0,79.48217229310262,16.916414534286773,13.0,1.3,0.13000000000000006,82.0,0.4452727229074077,0.002417899972748493
10,0.054,9,359.96238971641407,573.0,68.72576375490874,13.46859515155819,1436.0,240.81797911971597,51.04191573143654,298.0,48.716211721668394,10.201333261034167,14.0,1.4000000000000001,0.14000000000000007,99.0,0.5375853605833337,0.002919171918318302
11,0.054,10,360.7178591768269,570.0,73.31781051578366,15.443478349022698,1326.0,230.69333508246123,51.13661985414178,319.0,54.762875916634954,11.975962311047812,11.0,1.0999999999999999,0.11000000000000004,74.0,0.4018314816481484,0.002182007292480348
