id,probability_maraud,successful_mating,next_foraging_time,mar_attempts,mate_attempts,foraging_events,foraging_hrs,foraging_sqhrs,staying_events,staying_hrs,staying_sqhrs,repairing_events,repairing_hrs,repairing_sqhrs,marauding_events,marauding_hrs,marauding_sqhrs,traveling_events,traveling_hrs,traveling_sqhrs
0,0.054,10,360.15510473566655,"[['8' '3.672104396895004' 'marauded']
 ['8' '23.271416109758487' 'present']
 ['8' '44.63902230740281' 'present']
 ['5' '52.43710469915329' 'present']
 ['5' '53.49570635404037' 'present']
 ['8' '58.215844465995474' 'present']
 ['6' '70.07602503883909' 'present']
 ['5' '82.27819987969912' 'marauded']
 ['9' '87.58111199697505' 'destroyed']
 ['10' '91.23699087789718' 'marauded']
 ['8' '92.25288916544665' 'presentdestroyed']
 ['8' '97.6646792862442' 'destroyed']
 ['6' '102.16035619229326' 'present']
 ['8' '109.51923698212447' 'present']
 ['6' '114.48099318725978' 'present']
 ['9' '135.4087089264697' 'marauded']
 ['10' '140.66032155980366' 'presentdestroyed']
 ['5' '154.12810938953692' 'marauded']
 ['9' '155.46002804231398' 'presentdestroyed']
 ['5' '163.6487048754254' 'present']
 ['10' '169.99701588238315' 'present']
 ['8' '181.9176507009262' 'marauded']
 ['6' '182.7670607716925' 'presentdestroyed']
 ['6' '204.62205527865706' 'present']
 ['5' '222.14961676605236' 'present']
 ['8' '223.07750763370973' 'present']
 ['5' '239.81335904407428' 'present']
 ['5' '241.8169111814005' 'present']
 ['9' '246.89559921653867' 'present']
 ['10' '259.1547867013329' 'present']
 ['6' '261.63687758328183' 'present']
 ['8' '268.9124287834176' 'present']
 ['9' '273.2627059560014' 'present']
 ['8' '294.9865703820895' 'present']
 ['6' '299.42177493861277' 'present']
 ['9' '312.9819996151856' 'present']
 ['5' '316.7725602361003' 'marauded']
 ['8' '332.30917733697476' 'present']
 ['5' '351.5615181569929' 'present']
 ['8' '353.9647121285822' 'present']
 ['5' '358.24466545864317' 'present']]","[['F13' '90.87478802008852' 'mated']
 ['F77' '113.7186167035193' 'mated']
 ['F80' '175.1892580982705' 'absent']
 ['F28' '187.27066928911697' 'absentdestroyed']
 ['F41' '188.58531546950525' 'destroyed']
 ['F41' '188.58994509913487' 'destroyed']
 ['F91' '197.25611509030443' 'mated']
 ['F102' '222.0502434900916' 'mated']
 ['F43' '233.79885902908214' 'mated']
 ['F24' '286.2393789291687' 'mated']
 ['F103' '297.95300840497805' 'mated']
 ['F62' '298.9257156896563' 'mated']
 ['F29' '315.4484025750887' 'mated']
 ['F104' '324.9891164096435' 'mated']]",588.0,71.09968302215236,15.206138343274896,1463.0,245.1361828198504,52.490660064357954,253.0,42.6101426158042,8.909475515142828,9.0,0.8999999999999999,0.09000000000000002,84.0,0.38888888888888923,0.0018004115226337432
1,0.0,11,360.1716746985809,"[['6' '12.414496192356808' 'present']
 ['9' '41.07650711171624' 'present']
 ['0' '44.4540148270891' 'present']
 ['5' '60.849228240347244' 'present']
 ['0' '61.18519940199963' 'present']
 ['0' '62.257859650849404' 'present']
 ['8' '65.46975457412448' 'present']
 ['8' '68.07700129259244' 'present']
 ['5' '80.04835645691959' 'present']
 ['9' '85.17058663527098' 'present']
 ['10' '85.39506339377508' 'marauded']
 ['9' '87.75679619847475' 'presentdestroyed']
 ['0' '90.2983193370656' 'presentdestroyed']
 ['6' '94.57924182147488' 'present']
 ['6' '100.05816608988388' 'present']
 ['10' '100.94942732532549' 'present']
 ['0' '102.95567866482172' 'present']
 ['6' '105.5886527721649' 'present']
 ['5' '106.38897832677756' 'present']
 ['5' '130.80660165366922' 'present']
 ['8' '155.35457158766079' 'present']
 ['6' '187.61839345822014' 'present']
 ['8' '188.17587173194505' 'present']
 ['0' '202.60971070608747' 'present']
 ['10' '208.73312203874926' 'present']
 ['5' '217.8684266162835' 'present']
 ['5' '218.69955829602105' 'present']
 ['8' '233.069122253249' 'present']
 ['8' '249.41564274242492' 'present']
 ['10' '259.15015707170323' 'present']
 ['6' '263.2947916575767' 'present']
 ['9' '265.59733962801545' 'present']
 ['0' '266.1108505503592' 'marauded']
 ['6' '269.9760635870333' 'presentdestroyed']
 ['8' '273.53074905192415' 'present']
 ['0' '275.47629960770865' 'marauded']
 ['0' '278.40146804580775' 'presentdestroyed']
 ['8' '281.0317442817353' 'presentdestroyed']
 ['0' '284.1868952453024' 'present']
 ['6' '285.83991388309744' 'present']
 ['6' '290.443732914951' 'present']
 ['8' '302.46717407184383' 'present']
 ['5' '304.76987856435994' 'marauded']
 ['9' '308.9127161532327' 'presentdestroyed']
 ['6' '309.084281914811' 'destroyed']
 ['5' '313.2146570991116' 'present']
 ['0' '324.60943861313706' 'marauded']
 ['10' '332.69329088937604' 'present']
 ['10' '336.7096116741787' 'present']
 ['8' '342.1611226793967' 'present']
 ['0' '347.3987252222237' 'present']
 ['0' '356.69059510466343' 'present']
 ['0' '359.8042014643499' 'present']]","[['F36' '73.65226601950846' 'absent']
 ['F13' '90.8724732052737' 'destroyed']
 ['F4' '95.54260152144467' 'mated']
 ['F72' '114.39862865233518' 'mated']
 ['F106' '148.90566227934445' 'mated']
 ['F84' '158.00535287426663' 'absent']
 ['F11' '176.15648126695396' 'mated']
 ['F0' '176.69199237720343' 'mated']
 ['F10' '193.51982505321942' 'mated']
 ['F105' '209.41647225379208' 'mated']
 ['F3' '217.48090579652157' 'absent']
 ['F37' '222.20520449203488' 'mated']
 ['F38' '247.7873146136298' 'absent']
 ['F47' '277.4361510114234' 'destroyed']
 ['F32' '294.25616863459464' 'mated']
 ['F54' '322.2228258721722' 'mated']
 ['F17' '359.99378996787055' 'mated']]",569.0,66.36136712403663,12.828435589699168,1558.0,263.16377081147306,55.96221870767306,175.0,30.535237497435823,6.702857433889534,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,6,360.49492927494947,"[['9' '1.1117863357060846' 'present']
 ['8' '7.65291343562552' 'present']
 ['8' '17.539343627145303' 'present']
 ['6' '29.443780993781427' 'present']
 ['0' '33.08859664500307' 'present']
 ['9' '36.463608446726944' 'marauded']
 ['0' '48.18419610083145' 'present']
 ['5' '61.313367434801364' 'present']
 ['10' '73.73150498948546' 'present']
 ['10' '92.62309734076844' 'present']
 ['5' '96.60794048301472' 'present']
 ['6' '101.89577318912997' 'present']
 ['10' '120.89154343554544' 'present']
 ['5' '154.79330921026548' 'present']
 ['8' '155.3592012172904' 'marauded']
 ['10' '162.04232436451227' 'presentdestroyed']
 ['9' '162.55731388061213' 'presentdestroyed']
 ['9' '174.3566653209478' 'present']
 ['6' '180.54121018686257' 'present']
 ['8' '180.69377521915604' 'present']
 ['6' '189.24391763765894' 'present']
 ['10' '193.08781405994478' 'present']
 ['8' '194.34553278371305' 'present']
 ['6' '196.9650853244052' 'present']
 ['6' '199.29990851702692' 'present']
 ['8' '201.47456555893547' 'present']
 ['6' '202.74944331507479' 'marauded']
 ['8' '203.16915663300438' 'presentdestroyed']
 ['8' '204.7866743962155' 'presentdestroyed']
 ['5' '208.5049851211952' 'presentdestroyed']
 ['9' '211.4639969636017' 'present']
 ['6' '217.98985002066465' 'present']
 ['10' '230.55464419422646' 'present']
 ['9' '233.85028756163638' 'present']
 ['5' '235.74937831162353' 'present']
 ['8' '240.86003470048604' 'present']
 ['6' '247.88891444172282' 'present']
 ['9' '257.7097180658317' 'marauded']
 ['8' '262.8073533844054' 'presentdestroyed']
 ['5' '267.3809654085564' 'marauded']
 ['8' '281.036373911365' 'present']
 ['9' '281.90060816667335' 'present']
 ['6' '283.7879262502' 'marauded']
 ['0' '284.18226561567275' 'presentdestroyed']
 ['8' '288.31656874289837' 'destroyed']
 ['0' '293.83551039775864' 'present']
 ['8' '299.53547590010936' 'present']
 ['9' '301.5042354469734' 'present']
 ['10' '301.94527998572045' 'present']
 ['8' '309.52096899225467' 'present']
 ['5' '317.54838030546136' 'marauded']
 ['5' '321.96607479718983' 'presentdestroyed']
 ['8' '330.6763842003729' 'marauded']
 ['10' '331.23983538710684' 'presentdestroyed']
 ['0' '332.5926328997082' 'destroyed']
 ['6' '335.81465148981977' 'presentdestroyed']
 ['10' '336.16614614277887' 'presentdestroyed']
 ['10' '342.7420595195362' 'present']
 ['0' '347.6937299306016' 'present']
 ['9' '350.81742145079284' 'marauded']
 ['9' '359.93608081919956' 'marauded']]","[['F70' '43.94890084154179' 'absent']
 ['F94' '145.7948058960345' 'mated']
 ['F80' '175.19388772790012' 'mated']
 ['F49' '177.2200074231357' 'mated']
 ['F20' '179.8510417532883' 'absent']
 ['F12' '179.9805449095716' 'absent']
 ['F56' '184.40469304260802' 'mated']
 ['F96' '202.27977516928692' 'mated']
 ['F46' '268.9559476722199' 'destroyed']
 ['F47' '277.43846582623826' 'mated']
 ['F103' '297.9506935901632' 'absent']]",562.0,69.04392463387097,14.223114825390995,1377.0,236.58146833490295,51.10562024399693,327.0,54.53401224031015,11.292357233271572,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,8,360.32653105610666,"[['8' '21.696292127213386' 'marauded']
 ['9' '42.83303442801488' 'present']
 ['6' '45.7581705863188' 'present']
 ['8' '47.72679322990998' 'present']
 ['8' '67.21609350911267' 'present']
 ['9' '82.83631624546554' 'marauded']
 ['10' '84.14939943543686' 'presentdestroyed']
 ['5' '103.23366721374552' 'present']
 ['10' '105.36443495609522' 'marauded']
 ['6' '105.59328240179453' 'presentdestroyed']
 ['0' '134.20954650769187' 'present']
 ['5' '148.40343286485833' 'present']
 ['5' '152.83866745817636' 'marauded']
 ['9' '175.70376698893608' 'present']
 ['9' '177.06813580792107' 'present']
 ['0' '179.91691950054383' 'present']
 ['6' '181.19831177612934' 'present']
 ['9' '190.2677078744216' 'present']
 ['0' '196.22691662837303' 'marauded']
 ['8' '207.43480911323817' 'present']
 ['5' '222.25436750384023' 'present']
 ['6' '223.9564031147608' 'present']
 ['8' '230.11069237764156' 'present']
 ['8' '238.13290121675044' 'marauded']
 ['5' '238.63449976903092' 'presentdestroyed']
 ['9' '250.1932185595227' 'present']
 ['9' '251.88127523332702' 'present']
 ['9' '254.64370954080698' 'marauded']
 ['5' '264.8967742462507' 'marauded']
 ['8' '277.2940686657498' 'present']
 ['0' '278.9396845778716' 'present']
 ['10' '283.16965492459974' 'present']
 ['5' '284.499627974766' 'present']
 ['10' '316.1937814095039' 'present']
 ['5' '327.45725266189265' 'present']
 ['10' '344.2415944769176' 'present']
 ['8' '344.53961000947265' 'present']
 ['5' '350.51699117913677' 'present']]","[['F86' '28.532204926310563' 'destroyed']
 ['F73' '54.44088292206908' 'mated']
 ['F36' '73.65458083432327' 'mated']
 ['F23' '100.12339965732528' 'mated']
 ['F33' '117.90210934886298' 'mated']
 ['F99' '136.36128542123376' 'mated']
 ['F75' '204.77854634323384' 'mated']
 ['F69' '209.58825164742774' 'mated']
 ['F57' '217.45348629519654' 'absent']
 ['F29' '315.4460877602739' 'absent']
 ['F63' '316.68281023215775' 'mated']]",548.0,70.14083327981557,15.051173963393271,1429.0,241.0133428963513,51.01703501187355,294.0,48.8580524260001,10.170486819578084,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,7,360.02578690760663,"[['9' '30.73224339176985' 'present']
 ['9' '39.33241344565643' 'present']
 ['0' '41.723461259218745' 'present']
 ['5' '52.44173432878292' 'present']
 ['9' '60.3630378375089' 'present']
 ['0' '62.55122612887192' 'present']
 ['10' '75.81451804088273' 'present']
 ['10' '92.61846771113882' 'present']
 ['5' '107.15755919275637' 'present']
 ['8' '117.5480685340677' 'present']
 ['9' '121.39273789833182' 'marauded']
 ['5' '137.4263979242477' 'present']
 ['10' '146.50876505473332' 'marauded']
 ['8' '146.60869213203975' 'presentdestroyed']
 ['0' '148.6728100120143' 'presentdestroyed']
 ['8' '156.06173150465693' 'present']
 ['0' '169.15196787123867' 'present']
 ['0' '210.4320747504119' 'present']
 ['9' '212.02614352875233' 'present']
 ['5' '216.51746964214888' 'present']
 ['6' '219.63563845535995' 'marauded']
 ['9' '221.24421916975118' 'presentdestroyed']
 ['8' '233.5996584217914' 'present']
 ['9' '241.03330220990796' 'present']
 ['9' '243.08012686044637' 'present']
 ['6' '265.09465489872093' 'present']
 ['8' '266.40727121591664' 'present']
 ['6' '271.3110466678552' 'present']
 ['6' '271.97942160693356' 'present']
 ['6' '276.6260219236799' 'marauded']
 ['8' '283.15371594675906' 'destroyed']
 ['5' '284.50425760439566' 'present']
 ['10' '285.1950159958714' 'present']
 ['0' '296.2095031640432' 'present']
 ['10' '321.58562705539936' 'present']
 ['9' '325.95609123032455' 'present']
 ['8' '337.9544319529477' 'present']
 ['0' '341.86096517279714' 'marauded']
 ['6' '350.9825384745586' 'present']]","[['F58' '53.94702864816661' 'mated']
 ['F22' '85.67901684903569' 'mated']
 ['F6' '91.92820864663055' 'mated']
 ['F4' '95.53565707700024' 'absent']
 ['F4' '95.54028670662986' 'absent']
 ['F39' '96.00513495085063' 'mated']
 ['F31' '121.86113296984232' 'destroyed']
 ['F30' '182.1718003964245' 'mated']
 ['F102' '222.04792867527678' 'destroyed']
 ['F7' '227.3697422042963' 'absentdestroyed']
 ['F98' '230.4415304664638' 'mated']
 ['F59' '273.4842999186595' 'mated']]",563.0,71.28979697552361,14.325545673688547,1521.0,258.4000445069145,56.41479836188004,179.0,30.420399532420255,6.625408777338854,0.0,0.0,0.0,0.0,0.0,0.0
5,0.054,7,360.32122682796734,"[['9' '0.0023148148148148147' 'present']
 ['0' '0.5137319990547066' 'present']
 ['6' '4.370045610837195' 'present']
 ['10' '4.57790929361637' 'present']
 ['9' '16.449261711512747' 'present']
 ['8' '25.6439675227772' 'marauded']
 ['9' '36.56823807635658' 'present']
 ['10' '36.93392281037653' 'present']
 ['6' '39.7956937562296' 'marauded']
 ['0' '52.71371942164202' 'present']
 ['8' '54.67192245492994' 'present']
 ['9' '61.999693439185926' 'present']
 ['9' '71.44159561004896' 'marauded']
 ['8' '77.85740596959764' 'presentdestroyed']
 ['0' '90.47555947113496' 'present']
 ['10' '107.44700599198565' 'marauded']
 ['0' '115.43261402099222' 'presentdestroyed']
 ['6' '120.95256009851164' 'present']
 ['0' '122.45544323079535' 'present']
 ['8' '151.37872254136965' 'present']
 ['10' '168.04061312190922' 'marauded']
 ['8' '174.42367170581645' 'presentdestroyed']
 ['9' '188.927091452603' 'marauded']
 ['9' '190.26307824479198' 'presentdestroyed']
 ['6' '200.0672791604386' 'marauded']
 ['6' '210.24618797161156' 'present']
 ['8' '220.68040944888665' 'present']
 ['0' '226.74044220115474' 'marauded']
 ['10' '252.62857267404172' 'present']
 ['8' '255.18660586449613' 'present']
 ['6' '257.28392026910177' 'present']
 ['6' '275.008734657253' 'present']
 ['10' '275.7220356581854' 'marauded']
 ['9' '284.2606364765066' 'present']
 ['10' '293.6758789095651' 'present']
 ['8' '302.4718037014735' 'present']
 ['8' '329.4551015942475' 'present']]","[['F86' '28.534519741125376' 'destroyed']
 ['F95' '51.39088772677429' 'mated']
 ['F27' '120.59510169690068' 'absent']
 ['F82' '123.1403927875036' 'mated']
 ['F99' '136.35897060641895' 'absent']
 ['F84' '158.00766768908144' 'mated']
 ['F80' '175.1915729130853' '']
 ['F2' '185.92691838039144' 'mated']
 ['F10' '193.5175102384046' 'destroyed']
 ['F92' '194.22596270469276' 'destroyed']
 ['F53' '199.58750361996707' 'mated']
 ['F67' '201.63087688906927' 'destroyed']
 ['F100' '217.2881925874351' 'mated']
 ['F7' '227.3674273894815' 'destroyed']
 ['F98' '230.439215651649' 'destroyed']
 ['F97' '239.97529850883666' 'mated']
 ['F24' '286.23706411435387' 'absent']]",568.0,71.45549987435817,15.15111374507723,1370.0,231.4167814177862,49.17698436007401,324.0,55.238560970040645,12.416701717680544,16.0,1.6000000000000003,0.1600000000000001,77.0,0.3564814814814817,0.0016503772290809313
6,0.054,14,360.810342383955,"[['5' '21.307626210186054' 'present']
 ['10' '30.731563546770754' 'present']
 ['10' '33.05314967282811' 'present']
 ['0' '34.486153678383545' 'present']
 ['8' '47.59273542553193' 'marauded']
 ['8' '47.722163600280346' 'presentdestroyed']
 ['0' '79.77169053567732' 'present']
 ['9' '81.39890538006514' 'marauded']
 ['5' '99.61260753192357' 'present']
 ['10' '115.73462375007564' 'present']
 ['5' '117.11487174895267' 'present']
 ['10' '131.58978167023128' 'present']
 ['10' '142.60520196635844' 'present']
 ['0' '150.05410012317495' 'present']
 ['9' '164.64995064552815' 'marauded']
 ['9' '191.627109759705' 'present']
 ['5' '198.90770815599245' 'present']
 ['10' '208.2320452532691' 'present']
 ['10' '215.41134677284603' 'present']
 ['10' '296.3042769970697' 'present']
 ['0' '304.75780881825716' 'present']
 ['0' '310.42653367096284' 'present']
 ['0' '314.7234590337033' 'present']
 ['8' '318.6377542455946' 'present']
 ['5' '330.8310261559112' 'present']
 ['0' '347.5456275920336' 'present']
 ['8' '349.2279320202793' 'present']]","[['F58' '53.94471383335179' 'absentdestroyed']
 ['F73' '54.43856810725426' 'destroyed']
 ['F90' '117.50735267465163' 'mated']
 ['F81' '126.43910753511747' 'mated']
 ['F19' '129.50411398374146' 'mated']
 ['F14' '139.53969071004323' 'mated']
 ['F21' '151.19803092868614' 'mated']
 ['F52' '169.71748146977356' 'destroyed']
 ['F20' '179.85335656810312' 'mated']
 ['F41' '188.58763028432006' 'absent']
 ['F55' '204.87461792865278' 'mated']
 ['F34' '205.2077311426902' 'mated']
 ['F64' '213.60813058754374' 'mated']
 ['F18' '220.34849708625407' 'mated']
 ['F40' '245.0871942905367' 'absent']
 ['F107' '274.3926002068245' 'mated']
 ['F74' '285.4435967786564' 'mated']
 ['F71' '287.5580195466123' 'mated']
 ['F101' '354.1015169582475' 'mated']]",591.0,68.02267882012325,12.879909265151193,1645.0,272.290571460539,57.65450765452191,113.0,18.310379123042182,4.059886597295642,12.0,1.2,0.12000000000000005,84.0,0.38888888888888923,0.0018004115226337432
7,0.0,17,360.0539507428322,"[['6' '9.645924670007448' 'present']
 ['6' '12.312152718180647' 'present']
 ['6' '19.570213161898195' 'present']
 ['10' '36.627760655159115' 'present']
 ['9' '42.82840479838524' 'present']
 ['0' '54.516167066390054' 'present']
 ['9' '60.36766746713853' 'marauded']
 ['5' '66.64159031240668' 'presentdestroyed']
 ['9' '67.38077996779847' 'presentdestroyed']
 ['10' '78.55375211759686' 'present']
 ['8' '81.62587734084785' 'present']
 ['0' '99.59387439153377' 'present']
 ['0' '103.57539394788623' 'present']
 ['10' '116.8555094174647' 'present']
 ['8' '118.57869102225247' 'present']
 ['10' '132.9426857328194' 'present']
 ['8' '154.50811915350374' 'present']
 ['10' '156.27968731029225' 'present']
 ['8' '158.65876663846103' 'present']
 ['10' '167.03522111775382' 'marauded']
 ['5' '175.65223119683483' 'marauded']
 ['6' '186.42510576080184' 'present']
 ['5' '186.79592041254185' 'marauded']
 ['0' '204.1177162880969' 'present']
 ['6' '217.98522039103503' 'present']
 ['6' '232.41490369390857' 'present']
 ['9' '236.0489580813665' 'marauded']
 ['0' '248.87613650597265' 'present']
 ['10' '258.176733727506' 'marauded']
 ['8' '263.613766766522' 'presentdestroyed']
 ['9' '268.3438485543873' 'present']
 ['5' '271.7413772191787' 'present']
 ['9' '275.07652719043097' 'present']
 ['6' '285.77538028122757' 'present']
 ['0' '292.6802980839274' 'present']
 ['8' '296.0911376232128' 'present']
 ['6' '306.97254735428123' 'present']
 ['0' '311.26822366174014' 'present']
 ['5' '313.7571224154057' 'present']
 ['8' '318.89947921189037' 'present']
 ['9' '334.8802988754675' 'present']
 ['5' '341.92884922525576' 'present']
 ['0' '355.81857172037775' 'present']]","[['F85' '13.591537175264454' 'mated']
 ['F45' '22.68778516262532' 'mated']
 ['F86' '28.539149370755002' 'mated']
 ['F83' '83.16074929434527' 'mated']
 ['F6' '91.92589383181574' 'absent']
 ['F66' '117.79513564713093' 'mated']
 ['F27' '120.5997313265303' 'mated']
 ['F78' '158.2720547710044' 'mated']
 ['F52' '169.71979628458837' 'destroyed']
 ['F11' '176.15416645213915' 'absentdestroyed']
 ['F9' '183.89009362900507' 'mated']
 ['F79' '184.49935096183583' 'mated']
 ['F67' '201.63319170388408' 'mated']
 ['F68' '217.31248438993543' 'mated']
 ['F57' '217.45580111001135' 'mated']
 ['F40' '245.0895091053515' 'mated']
 ['F44' '255.37239825895827' 'mated']
 ['F46' '268.95826248703474' 'mated']
 ['F16' '304.69750822696386' 'mated']
 ['F42' '313.59696585628114' 'mated']]",577.0,69.07381625014474,13.130032255299927,1529.0,254.6502521674115,54.264018342099796,223.0,36.408951300078535,7.408765610795837,0.0,0.0,0.0,0.0,0.0,0.0
8,0.054,9,360.24795957945264,"[['10' '18.967632484943188' 'present']
 ['6' '22.355851705473018' 'present']
 ['10' '33.778060061555976' 'present']
 ['5' '56.93690513426299' 'present']
 ['0' '79.77632016530694' 'present']
 ['0' '99.58924476190415' 'present']
 ['5' '123.03290401423406' 'marauded']
 ['0' '130.8686728466005' 'present']
 ['6' '136.54841006495613' 'marauded']
 ['10' '153.013157798997' 'present']
 ['0' '172.64915360103348' 'present']
 ['0' '228.72062716240177' 'present']
 ['0' '242.5396167653958' 'present']
 ['5' '243.85904781429107' 'present']
 ['6' '244.2870193002811' 'present']
 ['6' '247.89354407135244' 'present']
 ['6' '248.4241671188429' 'present']
 ['6' '255.12039276782485' 'present']
 ['6' '255.53500097215667' 'present']
 ['9' '282.4217136997461' 'present']
 ['6' '288.15351694102105' 'present']
 ['0' '303.3884985390058' 'present']
 ['9' '310.5054652808016' 'present']
 ['9' '321.5674404339305' 'present']
 ['9' '322.09960259078304' 'present']
 ['10' '323.0303730012082' 'present']
 ['10' '325.04957519810984' 'present']
 ['6' '340.401948725887' 'present']]","[['F86' '28.52989011149575' 'absent']
 ['F86' '28.53683455594019' 'absent']
 ['F70' '43.95121565635661' 'mated']
 ['F50' '104.24907605292178' 'mated']
 ['F82' '123.13807797268879' 'destroyed']
 ['F61' '153.49444598069638' 'mated']
 ['F52' '169.72211109940318' 'mated']
 ['F41' '188.59457472876448' 'mated']
 ['F1' '226.31141707752985' 'mated']
 ['F48' '238.1171964276476' 'mated']
 ['F38' '247.7896294284446' 'mated']
 ['F60' '305.1718841119821' 'mated']]",546.0,72.38678062971181,15.80645549580254,1595.0,273.6635301035078,59.037765118034585,70.0,12.281712276305734,2.605643610790821,13.0,1.3,0.13000000000000006,96.0,0.44444444444444503,0.0020576131687242787
9,0.054,7,360.36375343982917,"[['10' '4.335381052977466' 'marauded']
 ['10' '4.998260745318508' 'presentdestroyed']
 ['6' '8.796836841855658' 'presentdestroyed']
 ['8' '20.537818121250965' 'marauded']
 ['6' '22.91112425900743' 'presentdestroyed']
 ['6' '24.587224248542064' 'presentdestroyed']
 ['10' '43.20506766592829' 'present']
 ['6' '45.76280021594843' 'marauded']
 ['8' '54.676552084559574' 'present']
 ['10' '63.65390638508548' 'present']
 ['10' '75.43299925895624' 'present']
 ['10' '77.26160445005912' 'present']
 ['10' '77.5372555100768' 'present']
 ['6' '91.14780846222331' 'marauded']
 ['8' '93.79682459331167' 'destroyed']
 ['8' '108.5958444911271' 'marauded']
 ['0' '114.29418812117747' 'destroyed']
 ['5' '118.7291505025282' 'present']
 ['0' '131.5197996395719' 'present']
 ['8' '156.0571018750273' 'present']
 ['8' '178.84456255924235' 'present']
 ['0' '179.99034063370166' 'present']
 ['6' '180.31212330966403' 'present']
 ['8' '180.806129647837' 'marauded']
 ['8' '187.06141032337106' 'presentdestroyed']
 ['5' '188.10980625723423' 'presentdestroyed']
 ['5' '198.629467691609' 'present']
 ['0' '214.68475986543606' 'present']
 ['0' '217.406908197846' 'present']
 ['5' '237.05733337043034' 'present']
 ['6' '243.794894071043' 'present']
 ['6' '258.8040713112449' 'present']
 ['5' '262.26351938852963' 'present']
 ['8' '274.0255482831377' 'present']
 ['0' '284.1776359860431' 'present']
 ['0' '306.737988522659' 'present']
 ['5' '314.483998822746' 'present']
 ['6' '322.9593739860252' 'present']
 ['0' '328.8685655119712' 'present']
 ['10' '339.50121836903867' 'marauded']
 ['10' '342.2927149759214' 'presentdestroyed']]","[['F4' '95.53797189181505' 'absentdestroyed']
 ['F39' '96.00282013603582' 'destroyed']
 ['F31' '121.86344778465713' 'mated']
 ['F87' '147.64764261560757' 'mated']
 ['F12' '179.9828597243864' 'mated']
 ['F92' '194.22827751950757' 'mated']
 ['F88' '202.19439887285037' 'mated']
 ['F3' '217.48322061133638' 'mated']
 ['F7' '227.3720570191111' 'mated']]",570.0,68.83619301269286,13.929882998123785,1415.0,246.059526288432,53.66439272572031,256.0,43.300083740295975,9.542583916436262,15.0,1.5000000000000002,0.15000000000000008,74.0,0.3425925925925927,0.0015860768175582976
