id,probability_maraud,successful_mating,next_foraging_time,foraging_events,foraging_hrs,foraging_sqhrs,staying_events,staying_hrs,staying_sqhrs,repairing_events,repairing_hrs,repairing_sqhrs,marauding_events,marauding_hrs,marauding_sqhrs,traveling_events,traveling_hrs,traveling_sqhrs
0,0.054,28,360.4232538049264,580.0,72.33030534068489,15.385860217777676,1698.0,286.0555161027773,61.262730104921495,0.0,0.0,0.0,11.0,1.0999999999999999,0.11000000000000004,96.0,0.5212948951111115,0.0028307121632177475
1,0.0,8,360.0966744548797,572.0,69.69899415926132,14.079661683498571,1310.0,223.31192174914642,48.123552057367085,381.0,67.15861861792143,15.028789280879794,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0,360.1535298700226,568.0,68.81671653112058,13.476956923386206,1728.0,291.234619120705,63.029339259736474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0,360.2244937457313,572.0,70.0001031191844,14.535161266587812,1716.0,290.00717042716656,61.39358106909254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
