id,probability_maraud,successful_mating,next_foraging_time,foraging_events,foraging_hrs,foraging_sqhrs,staying_events,staying_hrs,staying_sqhrs,repairing_events,repairing_hrs,repairing_sqhrs,marauding_events,marauding_hrs,marauding_sqhrs,traveling_events,traveling_hrs,traveling_sqhrs
0,0.054,7,360.34187053634406,575.0,69.12447691368075,14.000030955527965,1404.0,234.95356867426918,49.90955227355161,317.0,54.7716329117272,11.901741034737993,8.0,0.7999999999999999,0.08000000000000002,85.0,0.46156318837962995,0.0025063597278490476
1,0.054,4,360.3149234830932,577.0,71.56258303293767,14.171916685037436,1240.0,213.505693660865,46.49845907159797,409.0,73.44418596829365,16.557087396923382,13.0,1.3,0.13000000000000006,62.0,0.33666961975925946,0.0018281682720781298
2,0.054,8,360.26218209648755,586.0,71.77853007548154,14.817558152835751,1426.0,243.19210922721913,51.53745289536085,249.0,42.81386794913933,9.166355901211787,18.0,1.8000000000000005,0.1800000000000001,89.0,0.4832838090092596,0.0026243060679831203
3,0.054,9,360.24717117167575,558.0,72.7051059345508,14.980086519130001,1471.0,249.2142290832249,52.36176352838093,211.0,36.618312261818474,7.863616196472763,11.0,1.0999999999999999,0.11000000000000004,74.0,0.4018314816481484,0.002182007292480348
4,0.054,11,360.15648929565054,570.0,69.63140936036068,14.043037389656712,1318.0,221.34999588404597,47.44953398837328,403.0,67.16144202990345,13.889012307831697,16.0,1.6000000000000003,0.1600000000000001,85.0,0.46156318837962995,0.0025063597278490476
5,0.054,7,359.9444349392337,570.0,69.97664161288317,15.343624834437822,1280.0,221.9488147186876,48.482732022688815,414.0,66.79252859682465,13.827452342530876,9.0,0.8999999999999999,0.09000000000000002,72.0,0.3909711713333336,0.0021230341224133115
6,0.054,4,360.2051632261289,561.0,75.81970322859848,17.23287454701265,1115.0,189.10936994372136,40.52965873750916,556.0,94.11058385540383,20.44787549024177,9.0,0.8999999999999999,0.09000000000000002,64.0,0.3475299300740743,0.0018871414421451661
7,0.054,6,360.0328921689165,566.0,73.41518729680325,16.43701391669873,1252.0,212.66760347558227,46.05590384703123,444.0,73.00780698155826,15.416677229436253,7.0,0.7,0.07,58.0,0.3149489991296298,0.0017102219319440571
8,0.054,14,360.39161527085383,561.0,66.11843239599055,13.16439022607721,1535.0,262.0465906736698,56.1764597330909,176.0,30.574733225259468,6.700847871933916,9.0,0.8999999999999999,0.09000000000000002,88.0,0.4778536538518522,0.002594819482949602
9,0.054,6,360.48733076775125,573.0,73.33786045584408,15.441649282892232,1113.0,187.91858201347267,40.72719243348828,570.0,97.91684653730633,21.365115168496835,6.0,0.6,0.06000000000000001,55.0,0.2986585336574076,0.0016217621768435026
10,0.054,10,360.39015873814697,564.0,69.46550527369054,15.242167707556131,1368.0,235.4709472681139,51.044335660263336,313.0,53.86875584372139,11.790133210116316,8.0,0.7999999999999999,0.08000000000000002,74.0,0.4018314816481484,0.002182007292480348
11,0.054,9,360.62053028533796,586.0,71.1798037720071,14.432044830158764,1402.0,232.11701660798812,49.25650296372659,316.0,54.839726567786805,11.894348550268251,15.0,1.5000000000000002,0.15000000000000008,90.0,0.488713964166667,0.0026537926530166385
12,0.054,5,360.3133755251332,569.0,72.21352959075539,15.691693592060012,1328.0,231.54059794389875,51.4479410776696,319.0,54.90303025342229,11.53172963905352,10.0,0.9999999999999999,0.10000000000000003,67.0,0.3638203955462965,0.0019756011972457206
13,0.054,9,360.23100311696567,578.0,71.84217894344602,14.273339282944171,1212.0,201.30846035267467,42.692350117066376,525.0,85.49958562538961,17.81021763422583,10.0,0.9999999999999999,0.10000000000000003,73.0,0.396401326490741,0.0021525207074468296
14,0.054,14,359.94406305732565,567.0,72.41542755574713,16.05426841602541,1290.0,218.41716574443663,46.68795141095115,391.0,67.53629232129755,14.495818342471221,13.0,1.3,0.13000000000000006,73.0,0.396401326490741,0.0021525207074468296
15,0.054,7,360.5122770818963,551.0,69.8488110271868,14.513456386932422,1251.0,215.1348194834469,46.87047494687279,434.0,73.3473894475349,15.525013832501871,15.0,1.5000000000000002,0.15000000000000008,72.0,0.3909711713333336,0.0021230341224133115
16,0.054,10,360.180311503956,557.0,66.55989262414971,13.021591169115876,1282.0,219.19794025882572,46.75521423458518,456.0,72.67026107045223,14.968108129096425,12.0,1.2,0.12000000000000005,70.0,0.38011086101851876,0.002064060952346275
17,0.0,14,360.41462735724383,556.0,72.99507490889897,16.36428744888931,1351.0,225.89264031718346,48.31183700705,355.0,61.15732748500873,13.377030538227002,0.0,0.0,0.0,0.0,0.0,0.0
18,0.0,12,360.193314163319,566.0,72.41985698363207,14.99151674852243,1401.0,235.9358462683952,50.61078248271518,303.0,51.6984409500152,11.116722156461352,0.0,0.0,0.0,0.0,0.0,0.0
19,0.054,7,360.22612309224866,558.0,68.59972757801805,14.738182209061309,1436.0,247.34369726661586,53.8517216526405,249.0,42.75785182462174,9.40208513351601,11.0,1.0999999999999999,0.11000000000000004,67.0,0.3638203955462965,0.0019756011972457206
20,0.054,11,360.00526055045583,566.0,70.55708924791028,14.690784788220075,1336.0,225.35698029680705,48.047547118786746,367.0,62.590526720735696,13.59345847787234,12.0,1.2,0.12000000000000005,76.0,0.41269179196296324,0.002240980462547384
21,0.054,17,360.0924150296708,568.0,69.17077214050535,14.162611936170746,1447.0,246.77508876317088,53.43801489606996,255.0,42.52132599069135,8.740906693988563,13.0,1.3,0.13000000000000006,79.0,0.4289822574351855,0.0023294402176479386
22,0.054,8,360.33016422759613,576.0,67.89686254757245,13.560772778012446,1321.0,225.33634879917523,49.543434315328795,383.0,65.2483061067394,13.909688871973474,13.0,1.3,0.13000000000000006,61.0,0.33123946460185205,0.0017986816870446116
23,0.054,7,360.59896150745055,548.0,71.63481325934961,15.525774471636202,1196.0,207.14204348960118,44.93358549604233,476.0,79.8326182610755,16.998298245933867,11.0,1.0999999999999999,0.11000000000000004,63.0,0.3420997749166669,0.001857654857111648
