id,probability_maraud,successful_mating,next_foraging_time,foraging_events,foraging_hrs,foraging_sqhrs,staying_events,staying_hrs,staying_sqhrs,repairing_events,repairing_hrs,repairing_sqhrs,marauding_events,marauding_hrs,marauding_sqhrs,traveling_events,traveling_hrs,traveling_sqhrs
0,0.0,9,360.7263105884302,562.0,70.48240451311757,14.565484305690944,1631.0,277.4119243511893,59.56484806744711,68.0,12.133644178000727,2.695487273552957,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,5,359.98827803622686,551.0,72.03986384436722,15.097144650333505,1663.0,282.14202045560995,61.14356679114081,34.0,6.016943166369379,1.3454898933345727,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,7,360.0948142523129,576.0,69.15805906377906,13.616880862881636,1694.0,290.9042412428985,62.49937105002305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,11,360.2714183376661,556.0,70.24759236704351,14.20687290213837,1673.0,283.7739112095836,61.0033539532628,35.0,6.001510756192664,1.3425180867585775,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,8,360.0087291509746,564.0,73.65652188730971,15.740678711784525,1679.0,286.60367492832415,61.654484625694955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,5,360.81847823160166,559.0,71.95200114487858,15.044232607969775,1712.0,288.27796580279346,61.77720458494339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,8,360.4860997301648,570.0,69.00317740556875,14.107536431861044,1682.0,285.03103100300456,60.680408425269,39.0,6.122024724967288,1.1200669110902404,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,9,359.9694547092622,551.0,70.93011552757892,15.370789974241838,1670.0,281.9868311279241,60.73279635533432,48.0,7.140477119430735,1.3266939806011397,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,9,359.95412907507205,577.0,72.78630346864581,15.292303719063703,1634.0,281.1662524190694,60.80530753682543,37.0,6.062473431518287,1.3551028070381854,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,5,360.2485913308057,565.0,69.20128761564592,14.277416345606586,1734.0,290.9152502028792,62.08606535058753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,11,360.1269594321038,566.0,70.04914435625436,15.982386219180604,1602.0,278.2190718198674,61.543608855340096,74.0,12.001087668549848,2.389316993515673,0.0,0.0,0.0,0.0,0.0,0.0
11,0.054,12,360.40313402886164,563.0,73.13915557475895,15.366733715936297,1654.0,284.20551195721094,61.90307318735212,0.0,0.0,0.0,23.0,2.3000000000000007,0.23000000000000015,101.0,0.5484456708981486,0.0029781450883853383
12,0.0,8,359.8368406359772,571.0,71.09354514649644,14.88182305742598,1607.0,276.80211100289273,59.626308673612066,77.0,12.184117352164801,2.6508137001220757,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0,7,360.06035098435456,574.0,67.34038009583305,13.277913150441588,1699.0,286.5856609597609,60.88775663409824,33.0,6.099377901193308,1.416289526008659,0.0,0.0,0.0,0.0,0.0,0.0
14,0.0,11,360.25833623245865,563.0,70.02271110919645,14.547797591115446,1688.0,290.02555503999474,63.19575282232468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0.0,9,360.7115360629772,568.0,73.71182658130324,15.437890081308447,1737.0,286.35029095276775,60.54398724472382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,0.0,8,360.6878433766691,577.0,76.45064773168788,16.75104039417333,1644.0,277.589452545237,59.0033720638717,39.0,6.0290273515455395,1.1446177287349335,0.0,0.0,0.0,0.0,0.0,0.0
17,0.0,12,359.82338180752976,565.0,71.65463367082106,14.757245153834182,1640.0,276.418292003249,57.95931899413688,75.0,12.05670096495341,2.5771204684394395,0.0,0.0,0.0,0.0,0.0,0.0
18,0.0,8,360.02488700354576,564.0,72.60003374391081,15.973203431013093,1679.0,281.5363469390756,59.60812502919333,36.0,6.065295563761039,1.2487334810547337,0.0,0.0,0.0,0.0,0.0,0.0
19,0.0,15,360.3740667013454,564.0,72.46129843230112,15.662248869794917,1717.0,287.76697944224713,61.1872454780101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.0,9,360.45414679407884,574.0,71.85073098067004,15.177144319905693,1630.0,282.3767207607912,61.33956273164302,34.0,6.01692677808295,1.3254139211687253,0.0,0.0,0.0,0.0,0.0,0.0
21,0.0,8,360.04549566237074,567.0,71.23475380145673,15.03549684695167,1609.0,276.5137854656124,60.43490680900906,77.0,12.283183909000673,2.508057463705254,0.0,0.0,0.0,0.0,0.0,0.0
22,0.0,9,360.4422969277355,552.0,70.20051318678178,14.126531128351935,1600.0,278.2546241429283,60.695043054375276,66.0,12.010084315189696,2.775007813746033,0.0,0.0,0.0,0.0,0.0,0.0
23,0.0,13,360.87735726616484,574.0,67.5996457722905,13.898399211515562,1711.0,286.590976332813,60.659584004846,33.0,6.157837364978331,1.3076377413785143,0.0,0.0,0.0,0.0,0.0,0.0
