id,probability_maraud,successful_mating,next_foraging_time,foraging_events,foraging_hrs,foraging_sqhrs,staying_events,staying_hrs,staying_sqhrs,repairing_events,repairing_hrs,repairing_sqhrs,marauding_events,marauding_hrs,marauding_sqhrs,traveling_events,traveling_hrs,traveling_sqhrs
0,0.054,8,360.4015304222669,567.0,65.50486689433032,12.2136140206533,1165.0,202.1508328400219,44.58532895320988,518.0,91.60557225081165,20.215156798863415,5.0,0.5,0.05000000000000001,65.0,0.3529600852314817,0.0019166280271786843
1,0.054,8,360.68148436098215,572.0,70.23916180408771,15.16217148009671,1353.0,228.30792822296135,48.553174828075775,363.0,60.01821744701054,12.678304124510673,12.0,1.2,0.12000000000000005,69.0,0.37468070586111135,0.002034574367312757
2,0.054,10,360.05747529645873,566.0,69.74051422950879,14.518211206380263,1468.0,245.3594012366193,52.22089828771145,246.0,42.87312297356858,9.284432508362256,17.0,1.7000000000000004,0.1700000000000001,76.0,0.41269179196296324,0.002240980462547384
3,0.0,7,360.7513114937449,555.0,69.3788157098488,14.02866780281974,1232.0,204.73601654870413,43.822000930096934,518.0,86.12332710275815,17.968521805995813,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,4,360.46274155729355,555.0,68.94983932489404,13.868896541799081,1245.0,212.21875441670036,45.50203815726793,462.0,78.92014090057245,16.83312520821244,0.0,0.0,0.0,0.0,0.0,0.0
5,0.054,9,360.6257567578641,565.0,67.62855723772024,13.313861242261314,1392.0,235.86771679966958,51.00915772048941,325.0,55.13053502615631,11.736075525316881,11.0,1.0999999999999999,0.11000000000000004,89.0,0.4832838090092596,0.0026243060679831203
6,0.054,7,360.04489622100436,576.0,69.44734172270215,13.651954244890097,1345.0,227.65354247171754,48.76435137208135,346.0,60.894217232615595,13.70783677960512,16.0,1.6000000000000003,0.1600000000000001,97.0,0.5267250502685189,0.0028601987482512656
7,0.054,9,359.985472946386,567.0,71.68915128316911,15.405415153135477,1355.0,231.7825037961656,49.96439231566513,331.0,54.955237710926674,11.7309239070354,11.0,1.0999999999999999,0.11000000000000004,88.0,0.4778536538518522,0.002594819482949602
8,0.054,9,360.0241715230564,557.0,72.80882817923901,15.365243686088098,1296.0,221.16252890900026,47.57717483301448,373.0,64.36745900960798,13.909924796677863,13.0,1.3,0.13000000000000006,74.0,0.4018314816481484,0.002182007292480348
9,0.054,13,360.8695283130706,559.0,69.66695528681181,13.870349070940872,1317.0,221.69742119077085,47.48179172349972,405.0,67.20144313387338,13.950442163040028,12.0,1.2,0.12000000000000005,79.0,0.4289822574351855,0.0023294402176479386
10,0.054,13,360.2719394264872,575.0,70.8011062841056,13.980112544426861,1299.0,221.03842507953965,46.57932316520686,383.0,66.87070069169403,14.15793240870431,10.0,0.9999999999999999,0.10000000000000003,72.0,0.3909711713333336,0.0021230341224133115
11,0.054,15,360.2637418641805,574.0,69.50535765358067,13.990045552677321,1218.0,205.40438703412457,43.95342181033337,490.0,84.05123237065355,18.207470527348086,7.0,0.7,0.07,63.0,0.3420997749166669,0.001857654857111648
12,0.054,9,360.21806226674755,558.0,69.54428995754445,14.639670753290673,1368.0,227.97239748915922,48.415082662600575,351.0,60.90793700693095,13.548467350116482,13.0,1.3,0.13000000000000006,70.0,0.38011086101851876,0.002064060952346275
13,0.054,7,360.26037974450884,562.0,69.96383629074853,13.966444256824303,1336.0,227.07264762230224,48.85190033769083,360.0,61.20909810914159,13.004325671087544,14.0,1.4000000000000001,0.14000000000000007,72.0,0.3909711713333336,0.0021230341224133115
14,0.054,7,360.4600769393831,571.0,69.4931270595124,13.72310458985959,1366.0,233.48018609097414,49.84488098033003,319.0,54.74843974229539,11.712258796947333,19.0,1.9000000000000006,0.1900000000000001,98.0,0.5321552054259263,0.002889685333284784
15,0.054,10,360.55270785645075,564.0,70.84539678082352,14.920561466965193,1259.0,207.40645098884306,43.687878413653365,483.0,79.734270738238,16.6964117553821,17.0,1.7000000000000004,0.1700000000000001,74.0,0.4018314816481484,0.002182007292480348
16,0.054,5,360.36706906703563,567.0,66.21007983988883,12.619110510484656,1383.0,237.3380685245555,51.724572263138676,329.0,54.876889032110576,11.128589787259882,12.0,1.2,0.12000000000000005,79.0,0.4289822574351855,0.0023294402176479386
17,0.054,14,359.98259746870553,567.0,68.80864022682088,13.919477927021694,1290.0,216.13241542812924,45.606198655397684,447.0,73.45547822521243,15.243116065569355,13.0,1.3,0.13000000000000006,67.0,0.3638203955462965,0.0019756011972457206
18,0.054,5,360.33189919240726,559.0,72.16205586083564,15.320304075844241,1325.0,225.85495335178803,48.68774747446111,375.0,61.06483115782403,12.432668873658601,7.0,0.7,0.07,69.0,0.37468070586111135,0.002034574367312757
19,0.054,9,360.8208139751352,580.0,66.8117316110373,13.939748855500188,1247.0,208.8389452316618,44.905135457433595,483.0,82.68807492756987,18.078575246410214,13.0,1.3,0.13000000000000006,80.0,0.4344124125925929,0.002358926802681457
20,0.054,11,360.0360244094622,556.0,71.54786971868565,15.506059307653588,1385.0,232.10210827842366,48.41919045053874,326.0,55.09749642336936,11.605014216124072,10.0,0.9999999999999999,0.10000000000000003,71.0,0.3855410161759262,0.0020935475373797933
21,0.054,8,360.290721178804,568.0,70.20674520587576,13.837443503740644,1292.0,214.32168929292513,45.05013406588189,433.0,73.08390668043273,15.697347678995223,20.0,2.0000000000000004,0.20000000000000012,81.0,0.4398425677500003,0.002388413387714975
22,0.054,14,360.2149789145896,572.0,70.44219878250648,15.190599265033686,1347.0,227.29274596723562,48.71707014692857,347.0,60.816335719792654,13.13781215307738,12.0,1.2,0.12000000000000005,77.0,0.41812194712037065,0.0022704670475809023
23,0.0,5,360.41882645390746,576.0,67.51471039561818,12.927601157116294,1354.0,225.20110652500367,46.93127682030629,405.0,67.48001016797927,13.96533626966706,0.0,0.0,0.0,0.0,0.0,0.0
