id,probability_maraud,successful_mating,next_foraging_time,foraging_events,foraging_hrs,foraging_sqhrs,staying_events,staying_hrs,staying_sqhrs,repairing_events,repairing_hrs,repairing_sqhrs,marauding_events,marauding_hrs,marauding_sqhrs,traveling_events,traveling_hrs,traveling_sqhrs
0,0.054,28,361.03334146605596,561.0,70.98522147850092,14.835505492122316,536.0,92.8552820601097,19.9656558821888,1158.0,195.4926420749799,41.946226133006775,6.0,0.6,0.06000000000000001,24.0,0.13032372377777782,0.0007076780408044385
1,0.0,80,360.11898618733113,566.0,68.99487712722203,14.288484672429192,1521.0,254.87043637577986,54.73246813665204,217.0,36.26131172420011,7.660314740252313,0.0,0.0,0.0,0.0,0.0,0.0
2,0.054,0,360.39604773448144,569.0,70.01371294827491,14.283522836562408,1724.0,288.8156940766211,61.4181779320022,0.0,0.0,0.0,7.0,0.7,0.07,89.0,0.4832838090092596,0.0026243060679831203
3,0.054,0,360.1835671248017,574.0,72.46260813455812,15.785651517534385,1719.0,286.8562358598428,60.978251284991366,0.0,0.0,0.0,3.0,0.30000000000000004,0.030000000000000006,93.0,0.5050044296388893,0.002742252408117193
4,0.054,0,360.0911391050368,550.0,75.15812087632912,17.32588982282849,1655.0,283.9543934748739,61.74244100459121,0.0,0.0,0.0,6.0,0.6,0.06000000000000001,109.0,0.5918869121574079,0.0032140377686534836
5,0.0,0,360.17025436245103,570.0,72.43401337735008,15.110768910532277,1742.0,287.63761398985594,59.62513844128277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0,360.3675410236282,569.0,73.30518135341829,15.39018978881724,1709.0,286.73793604428397,61.85958530721171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.054,0,360.3159085685251,570.0,70.85770554031986,14.667757426272304,1734.0,288.18908541774965,60.80479170528921,0.0,0.0,0.0,6.0,0.6,0.06000000000000001,90.0,0.488713964166667,0.0026537926530166385
8,0.0,0,360.4294528541202,561.0,70.47182631851378,15.017824641220841,1729.0,289.65906048204914,62.14840636471663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.054,0,359.94509807779895,572.0,70.97699666279802,15.059641622169583,1730.0,287.5670746572083,60.05503287955688,0.0,0.0,0.0,10.0,0.9999999999999999,0.10000000000000003,92.0,0.49957427448148184,0.002712765823083675
10,0.0,0,360.0946097566513,562.0,72.42474066102162,15.081224811830973,1681.0,287.59851366380434,62.11709448637075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.0,0,359.9733110988116,551.0,70.14948583748024,14.635228721961427,1742.0,289.8783133202579,62.546535594981286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
