id,probability_maraud,successful_mating,next_foraging_time,foraging_events,foraging_hrs,foraging_sqhrs,staying_events,staying_hrs,staying_sqhrs,repairing_events,repairing_hrs,repairing_sqhrs,marauding_events,marauding_hrs,marauding_sqhrs,traveling_events,traveling_hrs,traveling_sqhrs
0,0.054,24,359.9755782406464,553.0,72.42285865621481,16.04508387075094,263.0,42.87486030757687,8.99723646384524,1461.0,244.41775206614318,51.70185301960709,2.0,0.2,0.020000000000000004,18.0,0.09774279283333336,0.0005307585306033288
1,0.054,192,360.03614760403593,574.0,73.02675496703999,15.240604692340373,1627.0,274.11370285056756,58.1871988320802,68.0,12.14353393823374,2.8447634858099247,3.0,0.30000000000000004,0.030000000000000006,87.0,0.4724234986944448,0.002565332897916084
2,0.054,0,360.11143582871017,552.0,71.14103641523361,15.303780383146016,1694.0,288.40510250079564,62.74067630350217,0.0,0.0,0.0,1.0,0.1,0.010000000000000002,90.0,0.488713964166667,0.0026537926530166385
3,0.054,0,360.3781900266715,584.0,70.7761995866003,14.750130662417922,1736.0,288.64935497074185,60.54604957788299,0.0,0.0,0.0,1.0,0.1,0.010000000000000002,92.0,0.49957427448148184,0.002712765823083675
4,0.054,0,360.0088133996299,568.0,71.4683542304333,15.25647809569583,1692.0,287.7156936642422,62.06530857582543,0.0,0.0,0.0,5.0,0.5,0.05000000000000001,80.0,0.4344124125925929,0.002358926802681457
5,0.0,0,359.83886367000355,558.0,69.44269698839847,14.659393995563626,1705.0,290.63706201159033,62.872734387309386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.054,0,360.1767510920261,571.0,70.96595840867488,15.1329083309614,1692.0,288.5950735765766,62.78885418673144,0.0,0.0,0.0,0.0,0.0,0.0,82.0,0.4452727229074077,0.002417899972748493
7,0.054,0,360.0558640134845,562.0,70.26878205617113,14.247084890255769,1685.0,289.14190114397263,63.05607648580886,0.0,0.0,0.0,3.0,0.30000000000000004,0.030000000000000006,86.0,0.46699334353703736,0.002535846312882566
8,0.0,0,360.2664345118252,565.0,74.20778055995056,17.077271550028566,1703.0,285.83127006343994,61.93867727450536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.054,0,360.4939675253934,569.0,70.55800659977895,14.284889972245846,1738.0,289.06814031638015,60.78389130268033,0.0,0.0,0.0,0.0,0.0,0.0,97.0,0.5267250502685189,0.0028601987482512656
10,0.054,0,360.2296509835433,583.0,71.70574354437268,14.88645929061632,1707.0,287.5980076563201,61.815021614707675,0.0,0.0,0.0,2.0,0.2,0.020000000000000004,94.0,0.5104345847962967,0.002771738993150711
11,0.054,0,360.0527138530178,561.0,68.19832811383783,13.387283581026162,1738.0,291.09097859481193,62.40496809906305,0.0,0.0,0.0,3.0,0.30000000000000004,0.030000000000000006,88.0,0.4778536538518522,0.002594819482949602
12,0.054,0,360.39061166237644,560.0,71.1484634155563,15.763922435381577,1695.0,288.26680945143596,61.588735613611405,0.0,0.0,0.0,1.0,0.1,0.010000000000000002,92.0,0.49957427448148184,0.002712765823083675
13,0.054,0,360.2219022787417,555.0,72.85455663295657,15.92080860473157,1697.0,286.3922503228778,61.675684525469805,0.0,0.0,0.0,3.0,0.30000000000000004,0.030000000000000006,86.0,0.46699334353703736,0.002535846312882566
14,0.0,0,359.95899646928655,553.0,69.42146115140947,14.125562793366859,1695.0,290.7133729214881,63.9187580327882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0.054,0,360.06947987125534,574.0,70.65019270073542,14.509522823462644,1725.0,288.6133562744276,61.219987938666755,0.0,0.0,0.0,3.0,0.30000000000000004,0.030000000000000006,91.0,0.4941441193240744,0.0026832792380501566
16,0.0,0,360.3268934769891,573.0,71.87952605848992,15.754681188056448,1705.0,288.1606794804578,62.27677259782588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,0.054,0,360.2231779456015,571.0,68.46942659220618,13.514574487912787,1696.0,290.820327675888,63.838804408473024,0.0,0.0,0.0,4.0,0.4,0.04000000000000001,101.0,0.5484456708981486,0.0029781450883853383
18,0.054,0,360.2082580156246,582.0,72.84672973319243,14.850498333297915,1674.0,286.41455685303123,61.57267655286297,0.0,0.0,0.0,3.0,0.30000000000000004,0.030000000000000006,91.0,0.4941441193240744,0.0026832792380501566
19,0.054,0,360.4145181028929,578.0,71.36497367366981,15.274493554169984,1734.0,287.92753119190786,60.111397867441724,0.0,0.0,0.0,2.0,0.2,0.020000000000000004,94.0,0.5104345847962967,0.002771738993150711
20,0.054,0,360.60831180432695,562.0,73.09655687739753,16.073113852409673,1690.0,285.96887266658183,61.63645633204867,0.0,0.0,0.0,5.0,0.5,0.05000000000000001,95.0,0.5158647399537041,0.0028012255781842293
21,0.0,0,360.34491868128794,563.0,68.14722914665514,13.946707977229421,1724.0,291.87297396880547,62.128844220192626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,0.054,0,360.6731270283672,562.0,70.462337273152,16.327968191784002,1677.0,288.99564102595,62.613927959964926,0.0,0.0,0.0,1.0,0.1,0.010000000000000002,91.0,0.4941441193240744,0.0026832792380501566
23,0.0,0,359.91428479259594,561.0,70.21825189807028,14.768755234692728,1744.0,289.7989124988885,61.7307489933095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
