id,probability_maraud,successful_mating,next_foraging_time,foraging_events,foraging_hrs,foraging_sqhrs,staying_events,staying_hrs,staying_sqhrs,repairing_events,repairing_hrs,repairing_sqhrs,marauding_events,marauding_hrs,marauding_sqhrs,traveling_events,traveling_hrs,traveling_sqhrs
0,0.0,81,360.47934274818175,585.0,70.78731204601306,14.459992757344004,739.0,125.04273026408431,26.740813210966547,987.0,164.27193389576914,34.28379789807627,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,135,360.58212539656176,568.0,67.58648594127992,12.826341278051547,1692.0,292.56664275361936,63.46576653244665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0,360.1036961380063,576.0,65.79871747819848,12.817811087561562,1757.0,294.337561645886,62.91337948883152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0,360.0479606459302,569.0,72.59829942179029,15.00357269970047,1691.0,287.44848452969035,61.33465738202791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0,360.1296170516276,560.0,70.9489917684523,14.823877529687566,1717.0,289.3006937252206,61.58725736872511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0,360.1322360913774,573.0,73.3583871683756,14.875126371514526,1686.0,286.7661240613785,61.14918939900153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0,359.91173006997724,574.0,67.19376046789192,13.160561966913917,1743.0,292.9500779187372,62.3113559155942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0,360.370948181347,557.0,70.40409966439604,14.485335294426823,1732.0,289.64295618456214,61.45411837781023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.054,0,360.3594582454,557.0,67.0470384339305,13.322360629541866,1758.0,291.460805190609,61.42435238764212,0.0,0.0,0.0,11.0,1.0999999999999999,0.11000000000000004,94.0,0.5104345847962967,0.002771738993150711
9,0.054,0,360.01265397685034,561.0,74.4544580879891,16.654053965851485,1688.0,284.0295093967872,61.2315993462242,0.0,0.0,0.0,10.0,0.9999999999999999,0.10000000000000003,107.0,0.581026601842593,0.0031550645985864473
10,0.0,0,360.17364099661586,564.0,70.57587156306077,14.907176896825588,1710.0,289.4371259239553,62.192646658356274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.0,0,360.3231162097614,570.0,73.48686623777398,15.6343565436877,1701.0,286.5362580042625,60.65678635632909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.054,0,360.3573185729177,570.0,72.1802251521811,15.40511155668403,1710.0,287.25190504271836,61.58803953646791,0.0,0.0,0.0,3.0,0.30000000000000004,0.030000000000000006,97.0,0.5267250502685189,0.0028601987482512656
13,0.0,0,360.12793142859863,577.0,68.06974953368969,13.918319605904689,1702.0,292.2176061237228,63.24008737682124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.054,0,359.78291278095264,565.0,72.19585792085063,14.360600764542898,1718.0,287.06063847786294,61.15480405021196,0.0,0.0,0.0,3.0,0.30000000000000004,0.030000000000000006,82.0,0.4452727229074077,0.002417899972748493
15,0.0,0,360.01742500431965,565.0,73.144145601158,15.635107620949068,1716.0,287.02969764435034,61.86368250097717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,0.0,0,360.0178806656147,576.0,69.56451982609244,13.859195346636666,1727.0,290.56501160646707,61.93692881452577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,0.0,0,360.0655427905507,577.0,73.84652956030637,15.720555550047996,1742.0,286.1796918666697,60.04220518615312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,0.0,0,360.2508811037854,576.0,70.10154761209758,14.2287194107062,1718.0,289.91574193920087,62.42438110789913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,0.0,0,359.97895274113085,554.0,69.25563239892121,13.754133810102118,1696.0,290.9653685964642,63.14978952012518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.0,0,360.19543251450216,543.0,72.87818910464837,16.034332702736315,1726.0,287.25947979228556,60.61253773051815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,0.0,0,360.36567592013995,566.0,74.68817399562616,15.772897621265932,1652.0,285.3573836051197,62.245357486448654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,0.0,0,360.14413398212366,560.0,72.32286727053949,15.466811959918882,1682.0,287.83789413086345,61.999985774053634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,0.0,0,360.4280898594651,556.0,71.43170586568442,15.004526318916518,1671.0,288.8021175777108,62.914299044891486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
