id,probability_maraud,successful_mating,next_foraging_time,foraging_events,foraging_hrs,foraging_sqhrs,staying_events,staying_hrs,staying_sqhrs,repairing_events,repairing_hrs,repairing_sqhrs,marauding_events,marauding_hrs,marauding_sqhrs,traveling_events,traveling_hrs,traveling_sqhrs
0,0.0,4,360.5503473782549,560.0,69.8051062975308,14.551962628830047,1336.0,228.8660780414031,49.47091833867918,353.0,61.49237450135939,13.621933324032867,0.0,0.0,0.0,0.0,0.0,0.0
1,0.054,6,360.2215499568082,559.0,72.54727085958494,16.10071158128522,1356.0,231.39698720041355,50.19764721142565,325.0,55.16451198595022,11.731621829368276,7.0,0.7,0.07,66.0,0.3583902403888891,0.0019461146122122025
2,0.054,9,360.2393403779617,576.0,74.7978059839133,16.775076768137602,1364.0,235.52068102742854,50.80077974755766,294.0,48.5832724218446,10.05609121593352,10.0,0.9999999999999999,0.10000000000000003,70.0,0.38011086101851876,0.002064060952346275
3,0.054,10,360.3903492316458,574.0,71.44235054834873,14.617421479887449,1431.0,237.69705068740936,49.97041817987206,296.0,48.73259430655488,10.139417216194468,17.0,1.7000000000000004,0.1700000000000001,91.0,0.4941441193240744,0.0026832792380501566
4,0.054,14,359.95897943080024,574.0,70.39550057855301,14.414559219637521,1402.0,239.0412949907765,51.74628337856428,278.0,49.24021361581955,11.105256754958152,9.0,0.8999999999999999,0.09000000000000002,90.0,0.488713964166667,0.0026537926530166385
5,0.054,8,359.84178031074333,563.0,70.92426324239966,15.045337013715413,1381.0,228.29194223270525,48.32224364418722,368.0,59.164734689738665,12.08749532556177,13.0,1.3,0.13000000000000006,74.0,0.4018314816481484,0.002182007292480348
6,0.054,10,360.19501535853095,559.0,70.09150482872073,14.668095050313779,1317.0,222.2700340740116,47.386247735892994,398.0,66.61823263691343,14.244914253013754,9.0,0.8999999999999999,0.09000000000000002,69.0,0.37468070586111135,0.002034574367312757
7,0.054,3,360.7428783998253,557.0,73.3553606594847,16.46239261033151,1284.0,217.89599392697974,47.21185941399492,391.0,67.14010846042561,14.327889621579498,14.0,1.4000000000000001,0.14000000000000007,69.0,0.37468070586111135,0.002034574367312757
8,0.0,11,360.4634130794885,579.0,72.86169085333866,15.346835581513766,1259.0,213.7503700493704,45.701594255093724,421.0,73.43902291622288,15.84240341250986,0.0,0.0,0.0,0.0,0.0,0.0
9,0.054,14,360.56867470107136,552.0,70.76152770819469,16.07320710142912,1322.0,226.7696330558306,48.72553597943276,341.0,61.709496608637686,14.255761564879036,7.0,0.7,0.07,64.0,0.3475299300740743,0.0018871414421451661
10,0.054,12,360.7708778560514,563.0,71.04230819861381,14.53896668343317,1518.0,256.35640383855275,54.71262354974167,191.0,30.536843209783882,6.292208260069427,16.0,1.6000000000000003,0.1600000000000001,98.0,0.5321552054259263,0.002889685333284784
11,0.054,6,360.49255710047385,575.0,65.61166787313951,12.466181357783134,1435.0,243.75727264028433,52.84487090427199,297.0,48.820152295080135,10.022569605751189,14.0,1.4000000000000001,0.14000000000000007,85.0,0.46156318837962995,0.0025063597278490476
12,0.054,10,360.18412460487014,577.0,72.72851288168215,15.018705614556866,1522.0,255.08228403396382,54.57159047271704,183.0,30.676575630437274,6.26388672094945,12.0,1.2,0.12000000000000005,83.0,0.4507028780648151,0.0024473865577820113
13,0.054,7,360.36317973963577,559.0,75.29560833898199,16.627328290282737,1335.0,220.67513011553908,46.91116116228001,388.0,62.72020934439195,12.949121159692993,11.0,1.0999999999999999,0.11000000000000004,76.0,0.41269179196296324,0.002240980462547384
14,0.054,10,360.4101818388056,569.0,69.04399435946115,13.236292462619094,1592.0,270.95935005455476,58.58423332806841,116.0,18.129772338975418,3.6494597303263725,15.0,1.5000000000000002,0.15000000000000008,83.0,0.4507028780648151,0.0024473865577820113
15,0.054,7,360.0334173655159,564.0,69.64973924503118,13.933331236168252,1401.0,242.74228389152418,52.16991967165582,272.0,46.52395387630866,10.064213870246556,7.0,0.7,0.07,71.0,0.3855410161759262,0.0020935475373797933
16,0.054,9,360.26884675753865,566.0,73.75738222385618,16.876039884209455,1220.0,211.30159811904528,45.353047589502246,426.0,73.3629688217705,16.048038799597844,12.0,1.2,0.12000000000000005,73.0,0.396401326490741,0.0021525207074468296
17,0.0,6,360.04004951229143,575.0,72.30610125027827,14.866591494307007,1366.0,226.2440602879954,47.64786366324721,368.0,61.57085791364496,12.762975635503652,0.0,0.0,0.0,0.0,0.0,0.0
18,0.054,13,360.0346475197884,563.0,70.04599174909774,14.450811601352722,1247.0,209.22903253131832,44.300135247971234,467.0,79.26519483988749,17.36643708672953,11.0,1.0999999999999999,0.11000000000000004,68.0,0.36925055070370394,0.002005087782279239
19,0.054,7,360.4660883133427,558.0,67.06337820666744,13.218746605399511,1375.0,235.7003261040468,50.93456106232665,323.0,55.176217182540874,12.214323357433624,17.0,1.7000000000000004,0.1700000000000001,76.0,0.41269179196296324,0.002240980462547384
20,0.0,11,360.02180299261,566.0,71.40904887428056,14.824642630237113,1441.0,240.43877378474718,50.946991135758914,296.0,48.200368396185674,10.22253972729475,0.0,0.0,0.0,0.0,0.0,0.0
21,0.054,11,359.86627896604057,557.0,74.73451067156662,16.450241300752634,1344.0,228.37712334420686,48.7871923174824,318.0,54.65904343362914,11.353222805177655,18.0,1.8000000000000005,0.1800000000000001,88.0,0.4778536538518522,0.002594819482949602
22,0.054,8,360.20128392588964,554.0,73.79436194357703,16.260473362510094,1036.0,178.47318566951137,38.855415248026354,647.0,107.00165495415222,22.721276582437735,6.0,0.6,0.06000000000000001,56.0,0.304088688814815,0.0016512487618770208
23,0.0,10,360.55709444014286,570.0,68.47599542373605,13.541846844460153,1381.0,236.3566689426367,50.39943539481479,326.0,55.18680972872472,11.799241182791482,0.0,0.0,0.0,0.0,0.0,0.0
