id,probability_maraud,successful_mating,next_foraging_time,foraging_events,foraging_hrs,foraging_sqhrs,staying_events,staying_hrs,staying_sqhrs,repairing_events,repairing_hrs,repairing_sqhrs,marauding_events,marauding_hrs,marauding_sqhrs,traveling_events,traveling_hrs,traveling_sqhrs
0,0.054,12,360.63228530665685,565.0,68.51841658145715,14.491885523771199,1469.0,253.05790379094864,55.22640106648019,207.0,36.750681544875775,7.838762817047386,13.0,1.3,0.13000000000000006,76.0,0.41269179196296324,0.002240980462547384
1,0.0,4,360.2182176633544,569.0,69.26574995622101,13.831497377163833,1323.0,229.64473182359453,50.11912279232276,363.0,61.11456647144139,12.888986086041673,0.0,0.0,0.0,0.0,0.0,0.0
2,0.054,11,360.39753088284,565.0,67.11982961904789,12.8685906902792,1350.0,236.84619273221463,52.58207026018758,328.0,54.81894838863863,11.649607048556078,9.0,0.8999999999999999,0.09000000000000002,68.0,0.36925055070370394,0.002005087782279239
3,0.054,8,360.6580515488906,568.0,68.49831769009428,13.920937596204718,1439.0,235.27609615887488,48.897879778728324,331.0,55.08498003836785,11.418466346212364,10.0,0.9999999999999999,0.10000000000000003,73.0,0.396401326490741,0.0021525207074468296
4,0.054,6,360.5999518414178,562.0,73.50262275052211,14.872988155843807,1423.0,242.7970911906846,52.608206191529845,245.0,42.82882983073836,9.401879539756754,7.0,0.7,0.07,72.0,0.3909711713333336,0.0021230341224133115
5,0.054,8,360.1914952001666,588.0,71.36996472052506,14.264462301567965,1357.0,227.32575091484338,48.24746657029413,367.0,60.12167246400941,12.611750609164803,8.0,0.7999999999999999,0.08000000000000002,81.0,0.4398425677500003,0.002388413387714975
6,0.054,13,359.976711325539,553.0,70.07647468275704,14.109671583510552,1411.0,239.44157005606223,51.31679228175456,292.0,48.72966441072748,10.486461992310513,14.0,1.4000000000000001,0.14000000000000007,100.0,0.5430155157407411,0.00294865850335182
7,0.054,10,359.8212251059435,557.0,73.60794398333027,16.048276871205235,1364.0,230.47726341961524,49.208009960236225,316.0,54.795731716563246,11.937826524527425,7.0,0.7,0.07,80.0,0.4344124125925929,0.002358926802681457
