id,probability_maraud,successful_mating,next_foraging_time,mar_attempts,mate_attempts,foraging_events,foraging_hrs,foraging_sqhrs,staying_events,staying_hrs,staying_sqhrs,repairing_events,repairing_hrs,repairing_sqhrs,marauding_events,marauding_hrs,marauding_sqhrs,traveling_events,traveling_hrs,traveling_sqhrs
0,0.0,14,360.02374236041464,"[['13' '4.15479475349109' 'present']
 ['2' '8.082804196224947' 'present']
 ['13' '10.648034405793833' 'present']
 ['10' '14.008633115828625' 'present']
 ['2' '48.68147176621702' 'present']
 ['15' '58.73502560280034' 'present']
 ['13' '66.55542390373392' 'present']
 ['2' '76.25045479521877' 'present']
 ['2' '80.66279020169843' 'present']
 ['1' '108.3246147906283' 'present']
 ['15' '116.75493372575133' 'present']
 ['15' '130.79582261080657' 'present']
 ['8' '154.5091767534597' 'present']
 ['2' '167.0754289401138' 'present']
 ['15' '170.19161795327875' 'present']
 ['2' '175.333558500311' 'present']
 ['10' '244.5919439628969' 'present']
 ['13' '267.1854354210778' 'present']
 ['15' '297.3194274097013' 'marauded']
 ['10' '297.8144349992526' 'presentdestroyed']
 ['1' '317.3653362915465' 'present']
 ['15' '318.42363521712747' 'present']
 ['13' '322.06865094175174' 'present']
 ['13' '352.5907601563765' 'present']]","[['F57' '54.718423785290106' 'mated']
 ['F171' '56.64157594871015' 'mated']
 ['F102' '61.99936854514967' 'mated']
 ['F174' '70.98605737448116' 'mated']
 ['F97' '83.55823430916729' 'mated']
 ['F11' '103.22392168299736' 'mated']
 ['F202' '111.88228194797546' 'mated']
 ['F160' '118.1638026258203' 'absent']
 ['F162' '181.53577800620317' 'mated']
 ['F112' '220.57114772256412' 'mated']
 ['F109' '227.3160774970859' 'mated']
 ['F49' '234.79919474441436' 'mated']
 ['F79' '242.88249692509694' 'mated']
 ['F13' '286.61817300756627' 'mated']
 ['F92' '342.5541426654457' 'mated']]",567.0,70.93314575655917,14.862163078021872,1695.0,283.0801434678869,60.32478419663386,33.0,6.032336825032814,1.4154511514139825,0.0,0.0,0.0,0.0,0.0,0.0
1,0.054,11,360.9961559870699,"[['15' '38.603833592565564' 'present']
 ['8' '60.6806780167959' 'marauded']
 ['2' '80.66741983132805' 'present']
 ['2' '86.24042004162705' 'present']
 ['2' '108.67633108041534' 'present']
 ['10' '115.0058827995483' 'present']
 ['10' '191.23984361511992' 'present']
 ['10' '208.6696029982778' 'present']
 ['13' '210.16017904809195' 'present']
 ['10' '239.9729940036322' 'marauded']
 ['15' '267.1947496008828' 'marauded']
 ['13' '267.62486168248904' 'presentdestroyed']
 ['10' '274.60333452446935' 'present']
 ['15' '295.9801230567921' 'present']
 ['2' '305.2553389350795' 'present']
 ['13' '309.9416464563187' 'present']
 ['10' '347.4044543976125' 'present']]","[['F170' '51.904592597176396' 'mated']
 ['F58' '62.890469335613936' 'destroyed']
 ['F39' '122.21680984153579' 'mated']
 ['F178' '136.08192349116186' 'absent']
 ['F134' '141.50616110061037' 'mated']
 ['F101' '186.1377987944765' 'mated']
 ['F165' '188.13228181167477' 'mated']
 ['F126' '189.36707151568768' 'mated']
 ['F65' '230.91153377773574' 'mated']
 ['F149' '236.17804909101696' 'mated']
 ['F195' '237.22987162071354' 'mated']
 ['F205' '259.9086629181237' 'mated']
 ['F2' '273.6829281875402' 'destroyed']
 ['F161' '325.1241316463085' 'mated']]",572.0,71.90870771429262,14.681668725630226,1611.0,268.7129465492414,56.26252974863694,99.0,18.167164747820205,4.381221933560458,13.0,1.3,0.13000000000000006,82.0,0.3796296296296299,0.001757544581618654
2,0.054,5,360.00927062125874,"[['15' '26.862479507446057' 'marauded']
 ['1' '41.440327719786964' 'present']
 ['15' '58.094270920405926' 'present']
 ['8' '77.84836428147374' 'present']
 ['1' '88.53050844753544' 'present']
 ['15' '99.9868366467432' 'marauded']
 ['13' '157.71803107235064' 'present']
 ['13' '188.301158210665' 'present']
 ['10' '206.15950730923745' 'marauded']
 ['13' '214.547775974336' 'present']
 ['10' '233.81335082511328' 'marauded']
 ['8' '244.41831815316067' 'marauded']
 ['13' '249.4240629679757' 'presentdestroyed']
 ['15' '249.77304264255113' 'presentdestroyed']
 ['8' '270.417438473701' 'present']
 ['13' '279.6052497661668' 'marauded']
 ['15' '308.3972029887598' 'present']
 ['13' '344.9747243974002' 'present']]","[['F3' '1.4431512700636855' 'mated']
 ['F94' '35.409563585759834' 'mated']
 ['F83' '161.73835977746944' 'absent']
 ['F87' '196.94502596648846' 'mated']
 ['F135' '209.02986320545855' 'destroyed']
 ['F9' '237.7596854848424' 'destroyed']
 ['F25' '241.2337918691245' 'absentdestroyed']
 ['F200' '273.7415414511262' 'mated']
 ['F150' '273.9440443056364' 'absent']
 ['F153' '292.25860843296584' 'mated']]",559.0,69.46454719378067,14.26731957729246,1478.0,251.85688285209537,54.295238624110404,209.0,36.53002018625367,7.853644903558418,19.0,1.9000000000000006,0.1900000000000001,93.0,0.4305555555555561,0.0019933127572016444
3,0.0,7,360.4649777807229,"[['10' '15.29774107710031' 'present']
 ['1' '19.465703149804828' 'marauded']
 ['1' '35.49687655405279' 'present']
 ['2' '49.379522583071996' 'present']
 ['15' '74.24404115721474' 'present']
 ['10' '82.74886667089858' 'present']
 ['13' '88.65557196350247' 'present']
 ['13' '105.55103513654304' 'marauded']
 ['10' '113.72824095562304' 'present']
 ['8' '125.50815136635215' 'present']
 ['1' '131.14447570407398' 'present']
 ['13' '139.27495081622666' 'marauded']
 ['2' '152.1080981417956' 'marauded']
 ['8' '155.6199487578548' 'presentdestroyed']
 ['1' '156.8044454311849' 'presentdestroyed']
 ['8' '163.27434226656607' 'marauded']
 ['10' '171.68503972784328' 'present']
 ['8' '178.98764420632978' 'present']
 ['2' '230.62575438434772' 'marauded']
 ['2' '254.98124097208077' 'present']
 ['1' '256.1612637399025' 'present']
 ['1' '282.9247365217768' 'present']
 ['13' '297.56232090610183' 'present']
 ['15' '299.1162822934523' 'marauded']
 ['2' '302.7213780566832' 'presentdestroyed']
 ['10' '318.99014306520036' 'present']
 ['8' '320.1354934468756' 'marauded']
 ['15' '345.6883070311644' 'present']
 ['2' '347.2713845151571' 'present']]","[['F55' '81.04840475389736' 'mated']
 ['F117' '100.4604457306606' 'absent']
 ['F130' '111.52149999398446' 'destroyed']
 ['F77' '114.22519010535545' 'mated']
 ['F114' '143.06077430932814' 'destroyed']
 ['F193' '143.82172850602055' 'destroyed']
 ['F215' '152.7300129117648' 'destroyed']
 ['F5' '180.107850197005' 'mated']
 ['F186' '180.4993515149364' 'mated']
 ['F214' '193.2883058282076' 'mated']
 ['F206' '194.07437358822241' 'mated']
 ['F20' '202.82947570317387' 'absent']
 ['F201' '219.10294932378926' 'mated']]",560.0,73.00873709938902,15.524746330503689,1429.0,238.50005232976577,51.18671972802589,284.0,48.66697662057537,10.732056793450711,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,8,359.96078376437083,"[['10' '4.450434681754214' 'present']
 ['10' '9.712070618061079' 'present']
 ['13' '22.685821601900695' 'present']
 ['15' '26.41675544086733' 'marauded']
 ['8' '28.71417071714866' 'presentdestroyed']
 ['10' '35.412810381478316' 'present']
 ['10' '42.92631924390144' 'present']
 ['13' '56.60854700369017' 'present']
 ['8' '122.61473204314949' 'present']
 ['10' '123.51915849677796' 'present']
 ['1' '134.02525047664497' 'present']
 ['15' '135.03911311365474' 'present']
 ['15' '146.84997745267196' 'present']
 ['13' '152.18852531912572' 'present']
 ['1' '157.27618657343035' 'present']
 ['2' '160.4332965670931' 'marauded']
 ['10' '164.3922557606522' 'presentdestroyed']
 ['1' '182.59946720159175' 'present']
 ['2' '187.8630865289336' 'present']
 ['2' '197.9296394121496' 'present']
 ['10' '213.6107199356612' 'present']
 ['15' '241.0255861145433' 'present']
 ['8' '246.16135826558266' 'present']
 ['13' '251.88884399045298' 'present']
 ['10' '274.6498781163075' 'present']
 ['13' '280.8093869055545' 'marauded']
 ['15' '298.271474481974' 'present']
 ['15' '299.1116526638226' 'present']
 ['13' '304.71607519312414' 'marauded']
 ['1' '343.0910421771918' 'present']]","[['F119' '103.11136202157674' 'mated']
 ['F17' '109.6464809321062' 'mated']
 ['F155' '134.04798400458688' 'mated']
 ['F35' '143.48561046211265' 'mated']
 ['F125' '170.6698511371482' 'mated']
 ['F108' '174.02243333013408' 'absent']
 ['F167' '207.83746204064462' 'mated']
 ['F34' '216.30022914374175' 'mated']
 ['F131' '220.58831846615513' 'mated']]",575.0,71.87949373918399,15.128330631612847,1582.0,263.7468340857712,56.1367613196432,147.0,24.446074098948905,5.072606503027902,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,10,360.6978630564586,"[['15' '32.432183238285326' 'marauded']
 ['1' '34.02461683441904' 'presentdestroyed']
 ['8' '57.11421937180942' 'present']
 ['10' '63.31552905648982' 'present']
 ['10' '71.63680032665441' 'present']
 ['2' '89.50950295637782' 'marauded']
 ['8' '90.00585379151714' 'presentdestroyed']
 ['10' '95.92994167904871' 'presentdestroyed']
 ['10' '128.51533701946252' 'present']
 ['8' '138.425258740898' 'present']
 ['2' '160.5379261967227' 'present']
 ['1' '175.83645960103487' 'present']
 ['1' '186.99454251721346' 'marauded']
 ['1' '191.16837329434256' 'presentdestroyed']
 ['10' '202.67622129075102' 'present']
 ['15' '230.39976058871872' 'present']
 ['13' '243.19271243766426' 'marauded']
 ['13' '253.2026185468727' 'present']
 ['15' '273.7332436096845' 'marauded']
 ['10' '276.18375444022865' 'presentdestroyed']
 ['13' '300.1877526789' 'present']
 ['1' '324.6524985542174' 'present']
 ['13' '333.0877991258553' 'present']]","[['F172' '61.64172421849239' 'mated']
 ['F187' '68.04412125959315' 'mated']
 ['F29' '81.23967384250805' 'mated']
 ['F70' '114.28548867892526' 'mated']
 ['F160' '118.16148781100549' 'absent']
 ['F80' '118.31299654186029' 'mated']
 ['F203' '123.67770517610754' 'mated']
 ['F15' '128.7034372824384' 'mated']
 ['F53' '152.38937113443268' 'mated']
 ['F194' '168.90493463057763' 'absent']
 ['F140' '190.77362373430432' 'destroyed']
 ['F196' '190.77895644967762' 'destroyed']
 ['F42' '195.37579107177584' 'mated']
 ['F9' '237.7573706700276' 'absent']
 ['F156' '240.0851149278145' 'absent']
 ['F211' '284.2103781430165' 'absent']
 ['F23' '290.4904296314273' 'mated']]",566.0,71.24758097339569,15.54236200484455,1535.0,258.46467259211016,56.15022056963379,189.0,30.317205513213263,6.225958418695409,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,8,360.2113976858031,"[['15' '28.635499923621776' 'present']
 ['13' '55.71463171907656' 'present']
 ['13' '56.467495128226794' 'present']
 ['8' '63.370879900692536' 'present']
 ['8' '69.98863257985853' 'marauded']
 ['13' '87.30194990174087' 'present']
 ['8' '94.53347414031538' 'present']
 ['13' '115.9630512611788' 'marauded']
 ['2' '130.714929106721' 'marauded']
 ['10' '136.64374872416917' 'presentdestroyed']
 ['2' '137.44201895315493' 'presentdestroyed']
 ['15' '139.1264083771576' 'present']
 ['13' '143.12884478611284' 'present']
 ['10' '163.84385271294815' 'present']
 ['1' '182.816423959302' 'present']
 ['1' '186.41460367252756' 'present']
 ['15' '197.82976187876906' 'present']
 ['2' '202.18892801488923' 'present']
 ['2' '203.11935344727948' 'present']
 ['8' '205.08392239777027' 'present']
 ['8' '217.56922851665354' 'present']
 ['15' '227.677861240158' 'present']
 ['2' '227.99286396656328' 'marauded']
 ['2' '228.0974935961929' 'destroyed']
 ['1' '237.08265039698531' 'present']
 ['10' '238.08651205834406' 'present']
 ['8' '242.16777635628415' 'marauded']
 ['15' '267.2993792305125' 'marauded']
 ['10' '287.5732814612865' 'present']
 ['1' '321.6825065577579' 'present']
 ['1' '325.39303244953953' 'marauded']
 ['8' '329.69812384477217' 'presentdestroyed']]","[['F50' '46.515429368731056' 'mated']
 ['F174' '70.98374255966635' 'absentdestroyed']
 ['F1' '138.94043825996985' 'mated']
 ['F60' '141.1085626230049' 'mated']
 ['F24' '171.51358081145767' 'mated']
 ['F122' '279.0567673712073' 'mated']
 ['F185' '314.62705825696435' 'mated']
 ['F118' '316.3227629837723' 'mated']
 ['F93' '353.1106836522279' 'mated']]",567.0,72.22625113519753,15.617912481629311,1457.0,245.2527094857299,52.53091167535227,257.0,42.595385617966244,9.09264089431198,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,6,360.15624429155656,"[['2' '2.1981741977846894' 'present']
 ['2' '44.718609741474936' 'present']
 ['13' '45.21731169914543' 'present']
 ['10' '62.99784190101185' 'present']
 ['10' '63.00710116027112' 'present']
 ['8' '65.06210353199984' 'present']
 ['2' '67.84550180100337' 'present']
 ['13' '104.05807482742759' 'present']
 ['13' '111.12149062978206' 'present']
 ['13' '121.54387788236103' 'present']
 ['2' '124.58721419100554' 'present']
 ['13' '146.84180304588668' 'present']
 ['2' '154.7930779947478' 'present']
 ['15' '169.80147203898755' 'present']
 ['15' '173.3241639984028' 'present']
 ['15' '177.44130469946407' 'present']
 ['13' '203.22094611948344' 'present']
 ['15' '225.2666392330399' 'present']
 ['15' '231.46378903812396' 'present']
 ['15' '263.41778637299524' 'present']
 ['8' '269.55156978351226' 'present']
 ['1' '309.707401564012' 'present']
 ['1' '357.83780648915075' 'present']]","[['F91' '51.43903507654196' 'mated']
 ['F58' '62.89278415042875' 'mated']
 ['F21' '63.40182275954317' 'mated']
 ['F29' '81.23504421287844' 'absent']
 ['F208' '101.5145567283283' 'mated']
 ['F11' '103.21929205336774' 'absent']
 ['F138' '114.11413176556344' 'mated']
 ['F89' '177.81875077033897' 'mated']
 ['F196' '190.7766416348628' 'absent']]",565.0,69.79573885421524,14.50695337852675,1741.0,290.3082643303328,61.48724348206819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.054,13,360.6590522457165,"[['1' '21.058110354078398' 'present']
 ['13' '31.325119865487626' 'marauded']
 ['1' '39.1127108861681' 'present']
 ['10' '50.77638816126638' 'present']
 ['10' '56.40584749548768' 'present']
 ['10' '107.6039481809248' 'present']
 ['15' '119.04366985469153' 'present']
 ['15' '121.08763004196214' 'present']
 ['13' '131.73698694349508' 'present']
 ['15' '142.25573571068065' 'present']
 ['13' '156.1056712724051' 'present']
 ['13' '170.49102321094503' 'marauded']
 ['13' '175.18568012786739' 'presentdestroyed']
 ['13' '175.190309757497' 'presentdestroyed']
 ['10' '213.72391548469946' 'present']
 ['13' '219.39694680501566' 'present']
 ['1' '275.1102368746319' 'present']
 ['2' '277.2176560174882' 'present']
 ['1' '286.55863415020025' 'present']
 ['1' '296.3189550769466' 'present']
 ['1' '303.2793891266686' 'marauded']
 ['13' '309.26960481307765' 'presentdestroyed']
 ['15' '320.7247680534126' 'present']
 ['13' '348.7989631321055' 'present']]","[['F197' '30.66006629401244' 'mated']
 ['F179' '34.51874897364622' 'destroyed']
 ['F210' '59.67535471773474' 'mated']
 ['F169' '62.20734959168724' 'mated']
 ['F54' '95.54626532366048' 'mated']
 ['F30' '117.34494169747323' 'mated']
 ['F157' '144.88470779373225' 'mated']
 ['F215' '152.7323277265796' 'mated']
 ['F207' '176.8811156221441' 'destroyed']
 ['F204' '211.21619126144023' 'mated']
 ['F190' '234.7778239636108' 'mated']
 ['F144' '254.37572273053425' 'mated']
 ['F128' '255.9357435907715' 'mated']
 ['F151' '330.6044042343031' 'mated']
 ['F198' '338.965716948026' 'mated']]",582.0,70.47814553026355,13.86464302483147,1601.0,269.3149648369828,57.79370625536563,112.0,18.124778902069654,3.7738845246827837,18.0,1.8000000000000005,0.1800000000000001,77.0,0.3564814814814817,0.0016503772290809313
9,0.0,7,360.32399152655785,"[['2' '42.79126133573134' 'marauded']
 ['15' '56.99906847037962' 'present']
 ['10' '59.283916113441514' 'present']
 ['13' '69.93105257934387' 'present']
 ['2' '78.67414275027522' 'present']
 ['1' '82.19798741966662' 'present']
 ['13' '99.53784652940209' 'present']
 ['8' '108.55161873654612' 'present']
 ['2' '113.56872830917916' 'present']
 ['10' '125.53866412419313' 'present']
 ['13' '127.1639474870857' 'marauded']
 ['1' '136.98039505687711' 'present']
 ['1' '142.28735407424074' 'present']
 ['8' '146.27037180377923' 'present']
 ['13' '154.66158830193052' 'marauded']
 ['2' '179.51832627044277' 'marauded']
 ['8' '206.14842147925725' 'marauded']
 ['10' '277.40301732975274' 'present']
 ['1' '279.18691943554234' 'present']
 ['15' '284.7061424023679' 'present']
 ['13' '304.8718701485798' 'present']
 ['2' '320.2854072067932' 'present']
 ['15' '328.3110196245237' 'marauded']]","[['F115' '9.263599132457363' 'absent']
 ['F37' '51.462473874682935' 'mated']
 ['F180' '77.53110394787937' 'mated']
 ['F85' '78.68988294396922' 'mated']
 ['F117' '100.4627605454754' 'mated']
 ['F83' '161.74067459228425' 'destroyed']
 ['F63' '176.71093895083644' 'mated']
 ['F135' '209.03217802027336' 'destroyed']
 ['F141' '210.27761181950382' 'absentdestroyed']
 ['F25' '241.2361066839393' 'mated']
 ['F211' '284.21269295783134' 'mated']]",582.0,68.94135249186947,13.059176684221667,1499.0,254.3090778327749,55.19268614361435,225.0,36.82683763375074,8.010447934371298,0.0,0.0,0.0,0.0,0.0,0.0
