id,probability_maraud,successful_mating,next_foraging_time,foraging_events,foraging_hrs,foraging_sqhrs,staying_events,staying_hrs,staying_sqhrs,repairing_events,repairing_hrs,repairing_sqhrs,marauding_events,marauding_hrs,marauding_sqhrs,traveling_events,traveling_hrs,traveling_sqhrs
0,0.0,8,359.9621022306354,556.0,72.64839224768086,16.345402161011823,1526.0,256.8641661996218,55.11563617856448,185.0,30.580181998031232,6.372538952849674,0.0,0.0,0.0,0.0,0.0,0.0
1,0.027,10,360.301603923376,570.0,70.6586187607707,14.468778112565806,1705.0,288.7617662663538,62.31634096525644,0.0,0.0,0.0,5.0,0.5,0.05000000000000001,41.0,0.08909827092962966,0.0001936219971377973
